Title,Date,Rating,Description,Score
Islands of Wakfu,"Apr 6, 2009",E,"Islands of WAKFU is an adventure, action and fighting game for the 360.",Metascore 62 out of 100
BRAWL,,,"It’s a horror-themed party game for up to four players. The game mixes well-known gameplay (you try to blow up your opponents with strategically placed bombs) with MOBA elements. There are eight characters, each with unique skillset. The easiest way to learn which character is best suited to your style is to play through the story mode that serves as a tutorial. BRAWL is mainly a party game and as such it features five local multiplayer modes, two online only, and two modes that can be played by one or two players in cooperation.",Metascore 62 out of 100
Dungeon Siege II: Broken World,"Sep 19, 2014",,"Dungeon Siege II: Broken World is an action/role-playing game set in a dark, post-apocalyptic fantasy world that concludes the story of Dungeon Siege II. You must hunt down the Dark Wizard in order exact your vengeance and undo the evil brought to the world of Aranna. After the shocking betrayal at the end of Dungeon Siege II, play through Act IV to conclude this epic adventure. 10 additional hours of primary quest gameplay and an additional 5 hours of optional quests and levels, including two new modes of play, Mercenary and Elite. Over 40 new monsters and beasts with powers that will change the way you play. New items including all new powerful weapons and armor, as well as enchanting magic items. Two brand new character classes that combine the powers of magic and combat. All new spells and powers. New pets have been added to enhance gameplay in addition to new races for the world of Aranna – the Dwarves are now back by popular demand. New reagent recipes that will allow you to create unique and powerful items. [2K Games]",Metascore 62 out of 100
Naruto: Uzumaki Chronicles,,,"Naruto: Uzumaki Chronicles  introduces a lush,  3D world that will test the players' Ninjutsu skills as Naruto, the feisty orphan who wants to become the most respected and admired ninja of all time. A brand new story drives the missions as players experience the trials and tribulations of a ninja-in-training - fierce competition from fellow students and constant challenges from their teachers. Players can collect status-boosting chips and plates to customize all aspects of Naruto's abilities and face-off against multiple enemies using either close combat moves or long-range weapons like shurikens and explosive cards. With familiar characters like Kakashi, Sasuke and Neji that can swoop in for assistance, Naruto: Uzumaki Chronicles offers mini-games and lethal attacks straight from the popular anime series to satiate any aspiring ninja. [Namco Bandai]",Metascore 62 out of 100
Trauma,"Oct 15, 2010",T,"TRAUMA tells a story of a young woman who survives a car accident. Recovering at the hospital, she has dreams that shed light on different aspects of her identity - such as the way she deals with the loss of her parents. TRAUMA lets you experience those dreams in an interactive way, reminiscent of Point-and-Click Adventure Games. It builds upon this established formula by introducing a gesture-based interface, real-time 3D technology for dynamic level layouts, unique photographic visuals and a level design philosophy that focuses on creating a rich experience rather than an elaborate puzzle challenge. Combined with the unconventional story, it is aimed to be a compact and deep game for a literate and mature audience.",Metascore 62 out of 100
Puzzle Chronicles,,,Enter the dark and savage lands of the Ashurin Empire as you battle to avenge the atrocities the Empire brought upon your tribesmen. On your challenging quest you will fight fierce beasts and battle hardened warriors with a new puzzle combat mechanics that will test your skills. This new puzzle combat system is based on real time action so players will have to think fast and posses sound strategies to best their opponents. [Konami],Metascore 62 out of 100
Super Bomberman R,"Mar 3, 2017",E10+,"Since its release in 1985, Bomberman has been a familiar party-battle game for many years. Now, Bomberman is coming back as ""SUPER BOMBERMAN R"" to Nintendo Switch. In SUPER BOMBERMAN R, the simple rule remains the same: operate the main character (Bomberman), place bombs, and battle with enemies and rivals, but it's coming back in a modern style with 3D stages and photo-real graphics. You can enjoy battles with rivals from all over the world. There is ""Battle"" mode for maximum of 8 players, and single play ""Story"" mode (cooperative play for 2 players is possible as well) where players clear each stage one by one, with a big volume of 50 stages. Also, there is a new rule where the condition to clear the stage is not just by wiping out all the enemies. This simple but strategic game with new rules and 3D stages is fun for everyone, from children to adults.",Metascore 62 out of 100
Velocibox,,,"Experience lightning-fast twitch gameplay, with mind-bending flips and spins, that is sure to challenge (and maybe frustrate) even the most hardcore of hardcore gamers. Velocibox promises to test your abilities to the brink, and beyond. Advance through 80+ patterns and levels by dodging obstacles at break neck speeds. Rely on split second reactions and instincts as you flip and rotate sideways to navigate through each diabolical level. [Sony]",Metascore 62 out of 100
One Piece Mansion,"Jul 28, 2015",E,"Offering an unfamiliar style of addictive puzzle gameplay and boasting the personality of a vast assortment of wacky characters, One Piece Mansion is a fine buy for fans of the genre.",Metascore 62 out of 100
War of the Vikings,,,"Developed by Fatshark, War of the Vikings is a new standalone entry into the War-franchise that will pull players into the brutal and bloody Viking Age, challenging them to design a personalized warrior and sack England as a mighty Norseman - or defend it as a brave Saxon.",Metascore 62 out of 100
Poison Control,"Sep 30, 2001",E,"This shooter-meets-action title combines high-octane gameplay and a grim-yet-charming art style into one unforgettable adventure. Use Poisonette's powers to purify poison mires while blasting away enemies as her gunslinging vessel. You can also customize your gameplay experience by choosing between a male or female vessel, unlocking weapons and enhancements with each world you purify, and increasing certain stats of Poisonette through choice-based dialogue. A poisonous partnership: swap between the poison-absorbing Poisonette and her gun-wielding vessel, and combine firepower and zone control to destroy the creatures of the poison mires. Enigmatic encounters: uncover the mysterious circumstances that set Poisonette and her vessel on the poisonous path towards redemption. Corrupt and colorful: with an art style that's as grim as it is charming, this twisted tale practically jumps off the screen! From vivid stages to vibrant gameplay effects, this adventure is as much a visual experience as it is visceral.",Metascore 62 out of 100
Silverfall,,,"Set in a world of fantasy dominated by the great, opposing powers of technology and nature, Silverfall gamers must choose between these forces in order to conquer all forthcoming quests and save the principal city from falling. Two companions will accompany them on their journey through the fascinating world of Nelwë. Decision-making is key throughout the game, as players’ choices impact both storyline and accumulation of skills. Features a vast, open fantasy universe offering complete freedom, from the flying zeppelin city of Cloudworks to the mage volcano of Brazer. 150+ creatures and bosses. Ability to create your own character from a choice of four races and release your inner beast by transforming into a fearsome, flesh rending were-beast. Capability of building your team of two from a choice of eight companions. Each of them has their own story, background, abilities and can endow you with quests. The way you treat them will alter their loyalties – they can become your friend for life or even a lover. Manage your character's evolution by choosing from 130+ skills and spells. Create precisely the character you want to play and adapt it to your style of play. Two multiplayer modes – the first allows the player to connect to any party, compose their team and play in co-op or PVP (up to eight players); the second sees the player compose a team at the beginning and play through the entire story together. [Atari]",Metascore 62 out of 100
The Infectious Madness of Doctor Dekker,"Apr 15, 2014",,Assume the role of a psychiatrist trying to solve a murder whilst treating the unusual patients of the recently deceased Doctor Dekker. Ask any questions and collect the evidence as you uncover the identity of the randomly generated murderer whilst trying to figure out the chaos that was left behind.,Metascore 62 out of 100
NEON STRUCT,,,"Assume the role of Jillian Cleary: an ex-spy on the run, framed for treason and hunted by your former agency. You must move in secret, survive off the grid, and find a way to clear your name. Old friends and new allies will lend their support; but with the eyes of the world upon you, who can you trust?",Metascore 62 out of 100
Chantelise: A Tale of Two Sisters,"Apr 13, 2021",T,"Five years ago, a witch's curse beneath the red moon turned Chante into a fairy. Now she and her sister Elise search for a way to transform her back into a human, and in their travels they come across a particular town, which is home to a number of nearby ruins, as well as a peculiar shopkeeper named Aira, and a strange, mercurial fortune-teller who calls herself Elma.",Metascore 62 out of 100
Warhammer Age of Sigmar: Tempestfall,,,Battle the forces of Nighthaunt in this VR-exclusive action-adventure Warhammer Age of Sigmar game. Wield iconic weapons of a Lord-Arcanum and deliver Sigmar’s justice using motion-based abilities and magic across the realm of Death.,Metascore 62 out of 100
Mario Sports Superstars,"Mar 20, 2007",T,"Five full-on sports—Soccer, Tennis, Golf, Baseball, and Horse Racing—bring the challenge and depth you demand to Nintendo 3DS systems. Take on friends and rivals in local or online multiplayer*, hone skills in training, or tackle single-player tournaments. Whether you pick Mario, Waluigi, or one of sixteen others, you're on the road to superstardom. Before long, you'll have mastered the ins and outs of each sport: learn when to use an infield shift in Baseball, change your team’s formation in Soccer, and more. Even Horse Racing is surprisingly deep! Build a stable of horses and train them well to win the day in the first-ever horse races in series history. But remember: these aren't normal sports—they're Mario Sports. Expect unexpected thrills and power up to stomp the competition. [Nintendo]",Metascore 62 out of 100
Disney/Pixar The Incredibles,,,"Super strength. Super speed. Invisibility. Elasticity. These are your powers. Bombs. Bullets. Robots. Lasers. Your enemy controls them all. The only way to survive being The Incredibles is to truly be incredible. From the Academy Award-winning creators of ""Toy Story,"" ""Monsters, Inc.,"" and ""Finding Nemo"" comes a new movie written by Pixar Animation Studios' Brad Bird (Iron Giant, The Simpsons). The Incredibles tells the story of a family of undercover superheroes that are trying to live a quiet, suburban life, but are forced back into action in order to save the world. The action/adventure game from THQ is based on the plotline of the movie, allowing you to play as all the film's main characters. Live the film's action, adventure, and humor over 18 levels, which are packed with fighting, racing, and puzzle action/adventure gameplay featuring the characters' unique superpowers. [THQ]",Metascore 62 out of 100
Between Me and The Night,"Jun 5, 2018",T,A surrealist action adventure game that walks the thin path between sanity and madness. Take on the role of a young boy and explore and interact with the mysterious house in which he lives.,Metascore 62 out of 100
Intruders: Hide and Seek,,,"Intruders: Hide and Seek is a first-person stealth game, an intense thriller combining psychological terror with the point of view of a defenseless boy. Three dangerous intruders slip into the house, and your only option is… to hide.",Metascore 62 out of 100
Wavey The Rocket,"May 20, 2015",,"Play as Wavey the Rocket as he tries to stop the moon from being destroyed by an evil corporation that removes fizz from soda! A precision side scroller like no other, it's hand-crafted and set to some seriously funky hip hop.",Metascore 62 out of 100
Dex,,,"Dex is a 2D, side-scrolling, open-world cyberpunk RPG with a focus on exploration and non-linear gameplay.",Metascore 62 out of 100
PokePark Wii: Pikachu's Adventure,"Jul 29, 2011",,PokePark Wii: Pikachu's Adventure is the first Pokemon adventure game for the Wii.,Metascore 62 out of 100
Manhunt 2,,,An experiment at a secret research facility has gone catastrophically wrong. Daniel Lamb and Leo Kasper are the only surviving subjects. The Pickman Project will stop at nothing to hunt them down and stop the truth from getting out. Demented screams echo around the dank Dixmor asylum that has caged you for the last six years. You open your eyes. A white-coated body slumps to the floor through your shaking hands. A bloody syringe slips from your arm. Waves of confusion and paranoia crash over you.  You have no idea who you are or how you got here. The door to your cell is open. One choice. One chance. They took your life. Time to take it back. [Rockstar Games],Metascore 62 out of 100
Headhunter: Redemption,"Nov 17, 2021",,"Twenty years after the devastation caused by the Bloody Mary Virus, a new order has emerged, based on two distinct but totally independent worlds, divided by the ultimate consumerist society - 'Above' and 'Below'. Headhunter: Redemption continues the gripping story of Jack Wade, a veteran Headhunter keeping order in a futuristic world overrun with unchecked consumerism, vicious organized crime and mind-controlling mass media. When Jack and his protégé, the sassy, streetwise Leeza X, stumble upon an arms smuggling operation that threatens the status quo, they must work together to deliver an oblivious world from impending catastrophe, confronting their darkest fears beneath a shroud of evil that blankets the city. [Sega]",Metascore 62 out of 100
24: The Game,,,"24: The Game is set between seasons two and three and provides the answers to many unanswered questions: who was really behind the assassination attempt on President Palmer? How did Kim Bauer get a job in the L.A. CTU? How did Jack Bauer and Chase Edmunds first start working together? The game has jaw-dropping revelations for '24' fans and thrilling, non-stop time-pressure gameplay. 24: The Game has multiple character plots and strands and over 100 missions covering multiple genres of game-play including: on-foot sections with shooting, stealth, puzzles and sniping; driving challenges varying from stealthy tailing to high-speed pursuits; interrogations where you have to coerce information out of suspects and gadget sections including decoding information and examining satellite images. [SCEE]",Metascore 62 out of 100
Small Radios Big Televisions,"Mar 24, 2017",E,Explore the inner workings of deserted factories in search of data cassettes that contain boundless virtual worlds. Collect more tapes and explore more worlds and you'll soon discover new methods of traversal and control that will take you farther than you'd ever expect.,Metascore 62 out of 100
Spellspire,,,"Blast fiends by spelling words and make your way to the top of the Spellspire. Spellspire is a mashup of word game and action role playing game. Pick letters from a grid to spell words and shoot them from your wand as spells. The longer the word, the bigger the blast. Collect gold dropped by slain monsters and buy more potent wands, hats and robes with magical special effects and abilities. Will you reach the top of the Spellspire, and what will you find?",Metascore 62 out of 100
Baseball Riot,"Oct 31, 2004",T,"Baseball Riot is a humorous physics based puzzle game. The player, as the baseball star Gabe Carpaccio, must travel through the US and clear more than 100 levels bristling with Explodz energy drink crazed villains. The gameplay is easy to pick up and play; the player simply lines up a shot, swings the bat and sees the ball knock out obnoxious fans, leery catchers, biased umpires and more. The player must bounce the ball of walls and obstacles to get the goons lurking behind cover.",Metascore 62 out of 100
We Happy Few,,,"We Happy Few is the tale of a plucky bunch of moderately terrible people trying to escape from a lifetime of cheerful denial. Set in a drug-fuelled, retrofuturistic city in an alternative 1960s England, you’ll have to blend in with its other inhabitants, who have their own set of not-so-normal rules.",Metascore 62 out of 100
Pac-Man,"Aug 9, 2006",E,"[Xbox Live Arcade]  Play one of the all-time classic videogames with Pac-Man. Move through treacherous mazes and eat all the Pac-Dots to clear each stage while avoiding the sinister ghosts. Eat Power Pellets to become temporarily invincible. Turn the tables on the ghosts and chase them down. Eat all four ghosts to ear the most bonus points. Are you skilled enough to stay alive through all the stages? This classic video game was released in 1980, and became a phenomenon around the world. The Guinness Book of World Records acknowledged Pac-Man as the ""Most Successful Coin-Operated Game in History"" in 2005. Now you won't need a pocketful of quarters to play this classic arcade title. [Namco Bandai]",Metascore 62 out of 100
continue?9876543210,,,"You are a dead, failed video game character wandering through the recesses of the Random Access Memory, trying to find peace in the final moments of your existence before being deleted forever...",Metascore 62 out of 100
Mega Man Battle Network 6: Cybeast Gregar,"Jan 3, 2014",,"In Mega Man Battle Network 6, Lan's father has received a job transfer and the family moves to Cyber City, a town known for conducting various technological experiments. Lan will meet new people and build new friendships in the real world while Mega Man befriends helpful Navis and encounters dangerous new enemies on the virtual plane. Together they will face threats far more powerful and perilous than they ever have before.",Metascore 62 out of 100
Dragon Ball Z: Buu's Fury,,,"Dragon Ball Z: Buu's Fury begins with the Other World Tournament Saga and continues through the Kid Buu Saga, the final chapter in the Dragon Ball Z story. In a game that combines action and role-playing game elements with exploration, enemies, boss enemies, puzzles, and quests, your ultimate goal is to defeat Buu. Choose the best character--Goku, Vegeta, Gohan, Goten, or Trunks--for each mission, create fusion characters whenever necessary, and unleash powerful attack combos and super moves.",Metascore 62 out of 100
Fading Shadows,"Jun 13, 2006",E,"Evil is afoot and the villainous Master Gardal has diabolical plans. With the aid of his faithful minions Quiph and Morg, he intends to conquer the famed Castle of Heaven... the supreme fortress built to protect the world from forces of darkness. The only way for Gardal to breach the castle gates is by sacrificing the pure, untainted soul of Erwyn, a young boy mentioned in a millennia-old prophecy. Gardal and his minions have already captured the boy and imprisoned him inside a dungeon to await execution. Yet Gardal didn't count on the help of Aira, Erwyn's clairvoyant sister. To save her brother, Aira has sealed Erwyn's soul within a single teardrop and transformed the teardrop into a protective orb. Now, in order to free her brother she must safely guide the orb into the Castle of Heaven using a magical beam of light. Unfortunately, sending the beam of light to Erwyn has used all of Aira's strength and she cannot control it any longer... Will you help her? [Ivolgamus]",Metascore 62 out of 100
Mr. Driller 2,,,"Test your drill skills in Mr. Driller 2, a colorful puzzle game for the Game Boy Advance. In an effort to save the world from being buried under colored blocks, you must drill your way through a variety of intricate puzzles while avoiding enemies and obstacles. Based on the arcade version, the sequel to Mr. Driller features Mission Driller, Endless Driller, and Time Attack Driller modes, plus a two-player mode that lets you play against a friend via link cable.",Metascore 62 out of 100
Kersploosh!,"Sep 14, 2004",E,"(Also known as ""Splash or Crash"") Master a stone's flight to the bottom of the well! Be one with the stone from the toss to the splash. With a sharp mind and a deft touch on the Circle Pad, master the journey to the bottom of wells filled with obstacles. As you learn to maneuver each stone in free fall and complete each level, you'll unlock more stones and wells. Embrace the challenges that lie ahead...for the flight is at hand.

Each well is designed differently, with various hazards to impede your journey. Some wells have pizzas that break apart; others contain floating cookies that will sacrifice their delicious lives to stop you from getting to the bottom. Armed with a selection of stones, such as the beefy iron ball and the fragile gem, race as fast as possible to the bottom of each well. Then turn on the StreetPass feature and share your speedy conquests with others!",Metascore 62 out of 100
Cloudy With a Chance of Meatballs,,,"Play as Flint, the wacky inventor who creates a machine that causes food to rain from the sky! When the machine spirals out of control, it's up to you to save the town with a variety of outrageously fun and wacky gadgets. Hurl hamburgers, sling spaghetti, and join the most hilarious food fight ever. Explore 20 levels and environments from the movie and beyond, from Jello-Land to Ice Cream Falls. [Ubisoft]",Metascore 62 out of 100
The Good Life,"Aug 27, 2008",E,"Play as Naomi, a journalist from New York who moves to a backwoods British town called Rainy Woods in order to pay off her massive debt.

The only way for her to escape from debt hell is to take pictures of happenings in the town and report on them. Of course, 'the happiest town in the world' is not your average town... 

The inhabitants of the happiest town in the world are some of the most bizarre people you'll ever come across. You'll live alongside them as you solve mysteries and experience a hearty helping of craziness. We're sure that you'll eventually come to love all the mystery, horror, and good old charm that this town has to offer.",Metascore 62 out of 100
Escape From Paradise City,,,"Escape From Paradise City is a blended action-RPG and strategy game for the PC that asks the player to infiltrate a gang-infested city on the Eastern seaboard in order to root out rampant corruption and violence. In a dystopian world that combines a dark underworld and elements of the fantastic, the player is required to infiltrate the gangs of Paradise City on behalf of a powerful government agency that, despite its influence, has been unable to introduce even a glimmer of law and order to this horribly corrupt city. In an intertwining chapter-driven story, the player takes turns controlling one of three gritty characters that, for their own reason, have ""volunteered"" to get to the bottom of the mystery behind the controlling crime syndicate's power. The player's characters becomes more powerful as they claw their way up the echelons of the underworld and as their individual stories begin to overlap. As the player's influence on the city grows, the businesses, the payoffs and the number of confrontations with rival gangs enables the player to gain experience and become powerful enough to take control of the city piece by piece. After becoming a underworld force to be reckoned with, the player discovers that the gang wars have been masterminded by a secret society, at the head of which are a coterie of terrifyingly dangerous and powerful figures that, it seems, no bullet will stop. [CDV Software]",Metascore 62 out of 100
Fable II: See the Future,"Apr 10, 2005",E,"(Downloadable Content)  See the Future is an action-packed journey that requires you to lift the curses placed on three mysterious items that have come into the possession of Murgo the Trader. In See the Future, heed the call for a hero to restore color and balance to the world, or let Albion fall to the wayside. Those who emerge victorious will receive the ultimate reward - a quest that provides a vision of Albion's future and what lies ahead for those born into the heroic bloodline. The fantastical new quests in See the Future will bring you face to face with new characters, creatures, events and legendary artifacts. Get ready to meet new characters and creatures. Murgo: Remember him from the childhood sequence of Fable II? Murgo returns to Bowerstone Market to bring an amazing array of new wares, including potions that can transform canine companions into new breeds. The Ghosts of the Snowglobe Quest: Holding a disturbing secret, the small model village inside it was once a real town in Albion. The people who once inhabited it are now ghosts condemned to endless torment until the shadowy threat that cursed them is defeated. The Cursed Knight Quest: Forever banished to a land beyond the dead, the Cursed Knight awaits a hero who has the strength and will to dress up in convincing costumes, even imitating a hobbe or balverine, to save him from his fate. The Colosseum: The Colosseum puts even the Crucible to shame. Only the greatest heroes have triumphed here. Your abilities will be put to the test to prove yourself in combat once and for all, to win the ultimate in prizes. [Microsoft]",Metascore 62 out of 100
LEGO City Undercover: The Chase Begins,,,LEGO City Stories is an open world game for the Wii U and 3DS.,Metascore 62 out of 100
DreamWorks Shrek Forever After,"Mar 7, 2013",E,"Gamers adventure through a variety of locations from the Shrek universe, solve challenging puzzles and battle exciting new enemies as they morph between Shrek’s normal world and his alternate reality…and ultimately conquer that crafty Rumpelstiltskin!  The game offers a fun-filled social and collaborative experience with its co-operative multiplayer mode, allowing up to four players to work together through the single player story.  [Activision]",Metascore 62 out of 100
DreamWorks Madagascar: Escape 2 Africa,,,"Join Alex the lion, Marty the Zebra, Melman the Giraffe, Gloria the Hippo and their entire madcap MadagascarTM crew on a whole new action-packed journey to save the African savannah in the Madagascar: Escape 2 Africa video game. Your favorite characters from Madagascar return and you can play them all! In addition to Alex, Marty, Gloria, and Melman, you also get to play as the crafty penguins, the wacky King Julien and new hippo character Moto Moto! Learn all the moves of each character and choose which character is best for the situation at hand. Adventure through 12 levels and 10 tournament mini-games from othe movie and beyond. Experience the characters, settings and situations established in Dreamworks Animation’s new Madagascar movie. Unique new environments include the Watering Hole, a free roaming area that’s been expanded for the game, the volcano and the plane wreck. Master new and expanded tournament mini-games including twice as much multiplayer action as the first Madagascar! [Activision]",Metascore 62 out of 100
TurtlePop: Journey to Freedom,"Sep 18, 2009",E,"TurtlePop: Journey to Freedom is a platform puzzle game that introduces Bebo, Deephi, Slimmie, Smarts, Willis and Sparky the Turtle. Master new gameplay with multi-character control and turtle-linking, environment manipulation, item deployment and match 3 mechanics that make challenges even more fresh, intense and fun. [Nintendo]",Metascore 62 out of 100
Fuse (2013),,,"What happens when human beings access powerful alien technology they were never meant to have been exposed to? When a volatile energy source they call Fuse falls into the wrong hands, the CIA calls upon an elite contact team to retrieve it, known as Overstrike 9. Congregate with up to 3 friends in team-based co-op play as you take down the rogue paramilitary corporation behind the theft. Use lethal teamwork, orchestrate devastating attacks, and provide cover for one another with fringe-tech weapons and gadgets. The unique LEAP feature lets you instantly shift from agent to agent during combat, allowing you to take advantage of each one’s special arsenal. You will need your partners and their arsenal to stop a global arms race from spinning out of control.",Metascore 62 out of 100
Moon Hunters,"Oct 15, 2021",,"Moon Hunters is a cooperative action personality test RPG in a rich, ancient world that’s different every time you play. Build your mythology as every action and choice contributes to how you’re remembered, as a constellation in the night sky.",Metascore 62 out of 100
El Tigre: The Adventures of Manny Rivera,,,"From deep underground, Mikla, Prince of Doom, and his AzTechs attack Miracle City. Mikla turns the city’s super-villains against each other so he can take over. The Rivera Family gets into some trouble when Puma Loco and White Pantera are kidnapped. El Tigre must enlist of friends Frida and Black Cuervo to save his Dad and Grandpapi! [THQ]",Metascore 62 out of 100
Malicious Fallen,"Oct 26, 2007",M,"When the forces of ultimate evil are unleashed on the world, only the Spirit Vessel can hope to subdue them. Malicious Fallen includes the complete story so far and adds two brand new chapters, Pursuit and Demise. Experience the thrilling finale of the Malicious saga, remastered, enhanced, and expanded for PS4.",Metascore 62 out of 100
Muscle March,,,"[WiiWare]  Muscle March is a quirky Japanese action game stuffed full of macho bodybuilders. The all mighty protein powder has been stolen, so it's up to Tony and his muscle-bound crew to catch the thieves. Choose from a variety of perfectly molded superstars and bring these terrible villains to justice. As the thieves attempt escape, they will smash through walls while making a variety of poses. You must match these poses to fit through the holes and catch up to the thieves. The protein powder will be yours again! Flex your muscles by yourself or with up to three friends in turn-based macho excitement. Posing for a few minutes not enough? Enjoy Endless Rush mode until your muscles bulge and explode! Muscle March will also be the first WiiWare title to offer a polar bear in tight swimwear! [Nintendo]",Metascore 62 out of 100
World's End Club,"May 12, 2009",M,"Renowned game writers Kotaro Uchikoshi and Kazutaka Kodaka return with a brand-new game that’s easy to dive into and full of twists and turns. This charming and vivid story of friendship and mystery will captivate new and experienced players alike. The “Go-Getters Club,” a group of misfit students from all over Japan, find themselves trapped in a strange theme park during a class trip. In order to unravel the mystery of their circumstances and find an escape, they must take part in a “Game of Fate” that will test their bonds of friendship! With colorful visuals, charming characters, accessible gameplay, and a compelling story, this is an experience you will never forget.",Metascore 62 out of 100
Tower Bloxx Deluxe,,,The award-winning mobile hit game Tower Bloxx is available for PC! Block dropping has never been as fun nor looked as good.,Metascore 62 out of 100
Pogo Island,"Apr 21, 2013",E10+,"Pogo Island offers an easy to learn but challenging to master level of enjoyment that will make hours feel like fleeting minutes. Each of the games -- Word Whomp, Poppit!, Phlinx, Tri-Peaks Solitaire and Squelchies -- is skinned to a playful island theme that transports you to an island getaway. Above and beyond the five puzzle games is a fun and unique meta-game that sets players on an island-wide adventure mission to reunite with stranded Pogo mascots. Along the way, players will collect tokens which can either be translated into bragging rights amongst peers or transferred to Pogo.com, where players can reap the benefits of being a token guru. [Electronic Arts]",Metascore 62 out of 100
Dinosaur King,,,"As Max or Rex, members of a dinosaur-hunting team called the D-Kids, excavate realistic dinosaur fossils from all over the world using the Touch Screen - you'll even blow off the dirt covering them using the DS microphone. Once you bring them to life in 3D with the amazing DinoShot invention, take your favorite beast into battle. Collect and trade over 100 unique species of dinosaurs as you journey to stop the evil Alpha Gang from using the mighty creatures to take over the world. With special moves and various battle strategies, you and a friend will have a blast competing head-to-head to find out who is the ultimate king of the dinosaurs! [Sega]",Metascore 61 out of 100
Mission: Impossible (1998),"Aug 14, 1998",T,"Prepare to enter into the most demanding and dangerous Mission Impossible ever. Your mission, should you decide to accept it, will be to guide your team through a spectacular series of authorized worldwide missions encompassing over 20 levels of gameplay. Razor-sharp reflexes, the ability to make quick decisions, strategic thinking and an extremely high level of accuracy will prove essential. As always, should you, or any member of IM Force be caught or killed, the Secretary will disavow any knowledge of your actions. As usual, Ethan Hunt will be your point man. This game will not self-destruct in five seconds, but you may...",Metascore 61 out of 100
Astor: Blade of the Monolith,,,"The world of Gliese is threatened by dark forces, revenants from a forgotten time.

Astor, a young Diokek, must take arms in order to save his world. Engaged in a fight for survival, Astor needs to unearth the secrets of the past, exploring majestic and mysterious monolithic ruins and ancient temples.

Freeing the spirit of the gods from the darkest magic, Astor is gathering magical powers and legendary weapons to confront the undead king and stop his unholy ritual.

With the help of the peaceful Diokeks, his friends and companions, Astor will eventually reach the Monolith and stop the destruction of Gliese.",Metascore 61 out of 100
The Lord of the Rings: War in the North,"May 30, 2024",,"In The Lord of the Rings: War in the North, players can become the heroes in the great battle of the North as part of the epic War of the Ring. Exploring unseen lands, story elements and characters from Middle-earth as well as elements familiar from past feature films, gamers will experience extensive character customization and development, expansive co-op gameplay options and upgradeable weapons, skills and special abilities.",Metascore 61 out of 100
Loki,,,"A journey through four great mythologies, Loki allows the player to take-on the role of one of four heroes: a mighty Norse warrior, a fierce Greek fighter, a powerful Egyptian sorcerer or a skilled Aztec shaman. Each comes from a different mythological background and each has different strengths and skills and, therefore, radically different ways of fighting. During an epic adventure, the player gives battle to a multitude of enemies. Hundreds of creatures and opponents of every kind have been created for the game, so that the player is going to have to fight his/her way past skeletons, giant spiders, centaurs, mummies, harpies, wild animals, a vast array of soldiers, culminating in the showdowns with formidable bosses such as Medusa, Fenrir the wolf or Fafnir the dragon. Each boss has a particular way of fighting so the player must discover his weak points. As the hero(ine) advances through the game he/she isbe able to collect or exchange thousands of items, including 500 unique objects, such as Thor's hammer or Achilles' armour. [Focus Home Interactive]",Metascore 61 out of 100
Medieval Moves: Deadmund's Quest,"Nov 1, 2011",M,"From the same team that brought you Sports Champions, one of the best selling Move titles, Medieval Moves: Deadmund’s Quest is a fantasy, action adventure game that is played with PlayStation Move that uses a unique set of motion control functionality, allowing players to seamlessly transition between  throwing projectiles, sword fighting and archery for an intuitive and immersive gameplay experience.",Metascore 61 out of 100
Into the Stars,,,"Into the Stars is a single player open-world journey through a distant solar system. Take the role of Captain as you explore a massive star system in search of a new home for humanity. Outfit your ship, select your crew and set off on a journey where you must scavenge resources, shelter civilians and outrun a hostile alien force in order to survive.",Metascore 61 out of 100
Seven Knights -Time Wanderer-,"Oct 2, 2007",M,"Seven Knights - Time Wanderer - focuses on the story of the eighth member of the Seven Knights, Vanessa, and her ultimate magical equipment, a sentient hourglass known as Sandy, as she embarks on a journey to return safely home after falling into the twists of space and time.",Metascore 61 out of 100
Frogger,,,"[Xbox Live Arcade]  Enjoy the classic game Frogger, revitalized and brand spanking new on your Xbox 360. Features enhanced artwork building on the original title's style, modernized sound and music, and all new play modes. Versus speed mode: Race a friend in split screen or Xbox Live action with this exciting new mode. Take as many frogs as you need to be the first to get five across the street for a new, intense competition. Co-op play: With a friend in the room, or on the other side of the world via Xbox Live, put your competitive nature aside and work together to push your frogs to the limit. All new bonuses: Rescue extra frogs, discover Frogger's friends, and search out tasty insect bonuses to push your score higher. There's an all time high score for this title, and someone's gonna have to beat it. [Microsoft]",Metascore 61 out of 100
Infini,"Nov 15, 2011",E10+,Lose yourself in Infinity… but never lose Hope. Try to escape a world of never-ending puzzles and oddities.,Metascore 61 out of 100
Godfall,,,"Save Aperion. You are the last of the Valorian knights, masters of combat equipped with legendary armor called Valorplates. Ascend in Godfall, a first-of-its-kind, looter-slasher, melee action-RPG.",Metascore 61 out of 100
